alpha,mu,participation,promote,oppose
0.12,29.0,1.0,0.0,0.0
0.22,46.0,1.0,0.0,0.12000000000000002
0.0,12.0,1.0,0.0,0.0
0.2,23.0,1.0,0.0,0.0
0.1,28.0,1.0,0.0,0.0
0.16,26.0,1.0,0.0,0.0
0.02,33.0,1.0,0.0,0.09999999999999999
0.18,50.0,1.0,0.0,0.09999999999999999
0.22,23.0,1.0,0.0,0.0
0.24,21.0,1.0,0.0,0.0
0.08,31.0,1.0,0.0,0.08
0.14,27.0,1.0,0.0,0.0
0.18,0.0,0.0,0.7000000000000001,0.0
0.14,50.0,1.0,0.0,0.12000000000000002
0.18,25.0,1.0,0.0,0.0
0.0,35.0,1.0,0.0,0.08
0.04,34.0,1.0,0.0,0.05
0.2,0.0,0.0,0.6799999999999999,0.0
0.2,49.0,1.0,0.0,0.09999999999999999
0.0,13.0,1.0,0.0,0.0
0.2,24.0,1.0,0.0,0.0
0.12,30.0,1.0,0.0,0.0
0.16,27.0,1.0,0.0,0.0
0.22,47.0,1.0,0.0,0.13999999999999999
0.06,31.0,1.0,0.0,0.09999999999999999
0.24,22.0,1.0,0.0,0.0
0.08,32.0,1.0,0.0,0.05
0.1,29.0,1.0,0.0,0.0
0.14,28.0,1.0,0.0,0.0
0.02,34.0,1.0,0.0,0.08
0.18,1.0,0.0,0.72,0.0
0.16,0.0,0.0,0.75,0.0
0.2,1.0,0.0,0.62,0.0
0.18,26.0,1.0,0.0,0.0
0.0,36.0,1.0,0.0,0.05
0.0,14.0,1.0,0.0,0.0
0.04,35.0,1.0,0.0,0.09
0.2,25.0,1.0,0.0,0.0
0.2,50.0,1.0,0.0,0.08
0.12,3.0,0.06,0.7499999999999999,0.0
0.16,28.0,1.0,0.0,0.0
0.22,24.0,1.0,0.0,0.0
0.24,23.0,1.0,0.0,0.0
0.08,33.0,1.0,0.0,0.09
0.18,2.0,0.0,0.64,0.0
0.12,31.0,1.0,0.0,0.09
0.14,29.0,1.0,0.0,0.0
0.16,1.0,0.0,0.7799999999999999,0.0
0.22,48.0,1.0,0.0,0.09999999999999999
0.1,30.0,1.0,0.0,0.0
0.02,35.0,1.0,0.0,0.05
0.2,2.0,0.01,0.72,0.0
0.18,27.0,1.0,0.0,0.0
0.0,37.0,1.0,0.0,0.09
0.22,0.0,0.0,0.7300000000000001,0.0
0.0,15.0,1.0,0.0,0.0
0.16,2.0,0.0,0.6900000000000001,0.0
0.2,26.0,1.0,0.0,0.0
0.06,32.0,1.0,0.0,0.08
0.22,25.0,1.0,0.0,0.0
0.04,36.0,1.0,0.0,0.12
0.24,24.0,1.0,0.0,0.0
0.08,34.0,1.0,0.0,0.12
0.12,4.0,0.26000000000000006,0.7300000000000001,0.0
0.14,30.0,1.0,0.0,0.0
0.12,32.0,1.0,0.0,0.12
0.22,49.0,1.0,0.0,0.08
