alpha,mu,lambda,participation,promote,oppose
,46.0,0.34,0.8600000000000001,0.05,0.12
,41.0,0.36,1.0,0.0,0.1
,42.0,0.36,1.0,0.0,0.09
,43.0,0.36,1.0,0.0,0.13000000000000003
,19.0,0.38,1.0,0.0,0.0
,20.0,0.38,1.0,0.0,0.0
,21.0,0.38,1.0,0.0,0.0
,22.0,0.38,1.0,0.0,0.0
,39.0,0.34,0.97,0.04,0.16
,23.0,0.38,1.0,0.0,0.0
,40.0,0.34,1.0,0.0,0.07
,24.0,0.38,1.0,0.0,0.0
,41.0,0.34,1.0,0.0,0.12
,25.0,0.38,1.0,0.0,0.0
,26.0,0.38,1.0,0.0,0.0
,42.0,0.34,1.0,0.0,0.08
,27.0,0.38,1.0,0.0,0.0
,28.0,0.38,1.0,0.0,0.0
,29.0,0.38,1.0,0.0,0.0
,30.0,0.38,1.0,0.0,0.0
,31.0,0.38,1.0,0.0,0.0
,32.0,0.38,1.0,0.0,0.0
,0.0,0.06,0.36,0.59,0.0
,47.0,0.34,0.9800000000000001,0.03,0.14
,48.0,0.32,0.8699999999999999,0.04,0.10999999999999999
,49.0,0.32,1.0,0.0,0.08
,48.0,0.34,1.0,0.0,0.12
,50.0,0.32,1.0,0.0,0.13
,0.0,0.02,0.29,0.48999999999999994,0.0
,33.0,0.38,0.99,0.0,0.13999999999999999
,20.0,0.4,1.0,0.0,0.0
,21.0,0.4,1.0,0.0,0.0
,22.0,0.4,1.0,0.0,0.0
,23.0,0.4,1.0,0.0,0.0
,24.0,0.4,1.0,0.0,0.0
,25.0,0.4,1.0,0.0,0.0
,26.0,0.4,1.0,0.0,0.0
,27.0,0.4,1.0,0.0,0.0
,28.0,0.4,1.0,0.0,0.0
,29.0,0.4,1.0,0.0,0.0
,30.0,0.4,1.0,0.0,0.0
,31.0,0.4,1.0,0.0,0.07999999999999999
,45.0,0.38,0.93,0.03,0.16999999999999998
,0.0,0.12,0.37,0.5200000000000001,0.0
,0.0,0.04,0.41,0.49000000000000005,0.0
,0.0,0.3,0.35,0.51,0.0
,34.0,0.38,0.96,0.02,0.09
,32.0,0.4,0.9400000000000001,0.0,0.09999999999999999
,33.0,0.4,1.0,0.0,0.1
,34.0,0.4,1.0,0.0,0.12000000000000002
,35.0,0.4,1.0,0.0,0.15000000000000002
,36.0,0.4,1.0,0.0,0.09000000000000001
,37.0,0.4,1.0,0.0,0.09
,38.0,0.4,1.0,0.0,0.06999999999999999
,39.0,0.4,0.96,0.02,0.15000000000000002
,40.0,0.4,1.0,0.0,0.12
,41.0,0.4,1.0,0.0,0.07999999999999999
,42.0,0.4,1.0,0.0,0.12000000000000002
,43.0,0.4,1.0,0.0,0.12
,0.0,0.16,0.45,0.5,0.0
,0.0,0.26,0.41,0.48,0.0
,0.0,0.14,0.36,0.48,0.0
,0.0,0.24,0.47000000000000003,0.4,0.0
,0.0,0.22,0.42000000000000004,0.52,0.0
,49.0,0.34,1.0,0.05,0.13999999999999999
,50.0,0.34,1.0,0.0,0.06999999999999999
,35.0,0.38,0.97,0.0,0.07999999999999999
,44.0,0.4,0.9800000000000001,0.0,0.15
,46.0,0.38,0.8800000000000001,0.02,0.13999999999999999
,47.0,0.38,1.0,0.0,0.06
,0.0,0.18,0.45999999999999996,0.5199999999999999,0.0
,0.0,0.1,0.5700000000000001,0.33,0.0
,0.0,0.32,0.47000000000000003,0.45,0.0
,0.0,0.28,0.41,0.53,0.0
,48.0,0.38,0.9400000000000001,0.03,0.13999999999999999
,49.0,0.38,1.0,0.0,0.09999999999999999
,50.0,0.38,1.0,0.0,0.12000000000000002
,45.0,0.4,0.9400000000000001,0.04,0.13
,46.0,0.4,1.0,0.0,0.15
,47.0,0.4,1.0,0.0,0.12000000000000002
,48.0,0.4,1.0,0.0,0.05
,0.0,0.2,0.6,0.47000000000000003,0.0
,0.0,0.0,0.67,0.29,0.0
,1.0,0.02,0.6000000000000001,0.31,0.0
,0.0,0.08,0.6900000000000002,0.28,0.0
,36.0,0.38,0.9400000000000001,0.06,0.11000000000000003
,37.0,0.38,1.0,0.0,0.07999999999999999
,38.0,0.38,1.0,0.0,0.06
,49.0,0.4,0.9400000000000001,0.01,0.06999999999999999
,2.0,0.04,0.62,0.32999999999999996,0.0
,0.0,0.38,0.6100000000000001,0.31000000000000005,0.0
,39.0,0.38,0.96,0.02,0.11000000000000001
,40.0,0.38,1.0,0.0,0.06999999999999999
,41.0,0.38,1.0,0.0,0.07999999999999999
,42.0,0.38,1.0,0.0,0.08
,43.0,0.38,1.0,0.0,0.12
,44.0,0.38,1.0,0.0,0.09000000000000001
,21.0,0.42,1.0,0.0,0.0
,22.0,0.42,1.0,0.0,0.0
,23.0,0.42,1.0,0.0,0.0
,24.0,0.42,1.0,0.0,0.0
,25.0,0.42,1.0,0.0,0.0
,26.0,0.42,1.0,0.0,0.0
,27.0,0.42,1.0,0.0,0.0
,28.0,0.42,1.0,0.0,0.0
,29.0,0.42,1.0,0.0,0.0
,50.0,0.4,0.93,0.02,0.13
,4.0,0.08,0.8100000000000002,0.25,0.0
,5.0,0.08,1.0,0.0,0.0
,6.0,0.08,1.0,0.0,0.0
,7.0,0.08,1.0,0.0,0.0
,8.0,0.08,1.0,0.0,0.0
,9.0,0.08,1.0,0.0,0.0
,10.0,0.08,1.0,0.0,0.0
,11.0,0.08,1.0,0.0,0.0
,12.0,0.08,1.0,0.0,0.0
,13.0,0.08,1.0,0.0,0.0
,14.0,0.08,1.0,0.0,0.0
,15.0,0.08,1.0,0.0,0.0
,16.0,0.08,1.0,0.0,0.0
,17.0,0.08,1.0,0.0,0.0
,18.0,0.08,1.0,0.0,0.0
,19.0,0.08,1.0,0.0,0.0
,20.0,0.08,1.0,0.0,0.0
,21.0,0.08,1.0,0.0,0.0
,22.0,0.08,1.0,0.0,0.0
,23.0,0.08,1.0,0.0,0.0
,24.0,0.08,1.0,0.0,0.0
,25.0,0.08,1.0,0.0,0.0
,26.0,0.08,1.0,0.0,0.0
,27.0,0.08,1.0,0.0,0.0
,28.0,0.08,1.0,0.0,0.0
,29.0,0.08,1.0,0.0,0.0
,3.0,0.06,0.78,0.22999999999999998,0.0
,47.0,0.42,1.0,0.0,0.13
,48.0,0.42,1.0,0.0,0.1
,49.0,0.42,1.0,0.0,0.07999999999999999
,50.0,0.42,1.0,0.0,0.08
,1.0,0.04,0.4,0.4499999999999999,0.0
,22.0,0.44,1.0,0.0,0.0
,23.0,0.44,1.0,0.0,0.0
,24.0,0.44,1.0,0.0,0.0
,25.0,0.44,1.0,0.0,0.0
,26.0,0.44,1.0,0.0,0.0
,27.0,0.44,1.0,0.0,0.0
,28.0,0.44,1.0,0.0,0.08
,1.0,0.24,0.27999999999999997,0.58,0.0
,0.0,0.34,0.47000000000000003,0.4600000000000001,0.0
,30.0,0.42,0.9400000000000001,0.03,0.10999999999999999
,31.0,0.42,0.95,0.01,0.12000000000000002
,32.0,0.42,1.0,0.0,0.06999999999999999
,1.0,0.06,0.66,0.32,0.0
,1.0,0.12,0.4800000000000001,0.47000000000000003,0.0
,1.0,0.26,0.51,0.42000000000000004,0.0
,29.0,0.44,0.95,0.06000000000000001,0.12
,30.0,0.44,1.0,0.0,0.12
,0.0,0.36,0.4,0.45999999999999996,0.0
,0.0,0.42,0.25,0.55,0.0
,1.0,0.2,0.41,0.58,0.0
,1.0,0.1,0.41,0.5199999999999999,0.0
,1.0,0.22,0.5399999999999999,0.45,0.0
,2.0,0.02,0.34,0.5799999999999998,0.0
,31.0,0.44,0.93,0.01,0.1
,32.0,0.44,1.0,0.0,0.09000000000000001
,33.0,0.44,1.0,0.0,0.08
,1.0,0.3,0.7000000000000001,0.24,0.0
,33.0,0.42,0.89,0.02,0.12
,1.0,0.14,0.5900000000000001,0.35000000000000003,0.0
,1.0,0.16,0.6700000000000002,0.29000000000000004,0.0
,1.0,0.0,0.44000000000000006,0.4600000000000001,0.0
,34.0,0.44,0.95,0.04,0.06999999999999999
,35.0,0.44,1.0,0.0,0.09999999999999999
,36.0,0.44,1.0,0.0,0.14
,37.0,0.44,1.0,0.0,0.12
,38.0,0.44,1.0,0.0,0.09000000000000001
,39.0,0.44,1.0,0.0,0.06999999999999999
,34.0,0.42,1.0,0.05,0.09
,35.0,0.42,1.0,0.0,0.12
,0.0,0.44,0.32999999999999996,0.5000000000000001,0.0
,0.0,0.4,0.5800000000000001,0.43000000000000005,0.0
,1.0,0.18,0.6,0.36000000000000004,0.0
,3.0,0.04,0.43,0.43,0.0
,1.0,0.32,0.6500000000000001,0.39,0.0
,2.0,0.24,0.45999999999999996,0.52,0.0
,40.0,0.44,0.9400000000000001,0.03,0.15
,41.0,0.44,1.0,0.0,0.1
,42.0,0.44,1.0,0.0,0.08
,43.0,0.44,1.0,0.0,0.09000000000000001
,44.0,0.44,1.0,0.0,0.08
,1.0,0.34,0.42000000000000004,0.47000000000000003,0.0
,36.0,0.42,0.9,0.05,0.16999999999999998
,1.0,0.28,0.73,0.27999999999999997,0.0
,37.0,0.42,1.0,0.0,0.12000000000000002
,38.0,0.42,1.0,0.0,0.13
,1.0,0.08,0.7100000000000001,0.23000000000000004,0.0
,45.0,0.44,0.89,0.06000000000000001,0.16000000000000003
,46.0,0.44,0.9400000000000001,0.02,0.16
,47.0,0.44,0.95,0.02,0.12999999999999998
,39.0,0.42,0.96,0.0,0.07999999999999999
,1.0,0.36,0.39,0.54,0.0
,1.0,0.38,0.6799999999999999,0.29,0.0
,40.0,0.42,0.95,0.02,0.06999999999999999
,41.0,0.42,1.0,0.0,0.06999999999999999
,42.0,0.42,1.0,0.0,0.05
,1.0,0.4,0.29,0.59,0.0
,48.0,0.44,0.8800000000000001,0.02,0.16
,49.0,0.44,1.0,0.0,0.14
,50.0,0.44,1.0,0.0,0.14
,2.0,0.06,0.4999999999999999,0.35,0.0
,23.0,0.46,1.0,0.0,0.0
,24.0,0.46,1.0,0.0,0.0
,25.0,0.46,1.0,0.0,0.0
,26.0,0.46,1.0,0.0,0.0
,43.0,0.42,0.96,0.02,0.18000000000000002
,44.0,0.42,1.0,0.0,0.11000000000000001
,2.0,0.18,0.45,0.43000000000000005,0.0
,27.0,0.46,0.97,0.0,0.09000000000000001
,2.0,0.1,0.5599999999999999,0.36,0.0
,2.0,0.22,0.55,0.33999999999999997,0.0
,45.0,0.42,0.9400000000000001,0.03,0.16
,46.0,0.42,1.0,0.0,0.12
,49.0,0.46,1.0,0.0,0.11000000000000001
,4.0,0.06,0.7999999999999999,0.26,0.0
,5.0,0.06,1.0,0.0,0.0
,6.0,0.06,1.0,0.0,0.0
,7.0,0.06,1.0,0.0,0.0
,8.0,0.06,1.0,0.0,0.0
,9.0,0.06,1.0,0.0,0.0
,10.0,0.06,1.0,0.0,0.0
,11.0,0.06,1.0,0.0,0.0
,12.0,0.06,1.0,0.0,0.0
,13.0,0.06,1.0,0.0,0.0
,14.0,0.06,1.0,0.0,0.0
,15.0,0.06,1.0,0.0,0.0
,16.0,0.06,1.0,0.0,0.0
,17.0,0.06,1.0,0.0,0.0
,18.0,0.06,1.0,0.0,0.0
,19.0,0.06,1.0,0.0,0.0
,20.0,0.06,1.0,0.0,0.0
,21.0,0.06,1.0,0.0,0.0
,22.0,0.06,1.0,0.0,0.0
,23.0,0.06,1.0,0.0,0.0
,24.0,0.06,1.0,0.0,0.0
,25.0,0.06,1.0,0.0,0.0
,26.0,0.06,1.0,0.0,0.0
,27.0,0.06,1.0,0.0,0.0
,28.0,0.06,1.0,0.0,0.0
,28.0,0.46,0.97,0.03,0.15
,29.0,0.46,1.0,0.0,0.06999999999999999
,1.0,0.42,0.69,0.35,0.0
,24.0,0.48,1.0,0.0,0.0
,25.0,0.48,1.0,0.0,0.0
,3.0,0.02,0.62,0.24000000000000005,0.0
,50.0,0.46,0.95,0.03,0.08
,2.0,0.34,0.53,0.39,0.0
,2.0,0.26,0.8000000000000002,0.33999999999999997,0.0
,30.0,0.46,0.96,0.05,0.12
,2.0,0.12,0.8100000000000002,0.22000000000000003,0.0
,2.0,0.16,0.5900000000000001,0.43,0.0
,2.0,0.2,0.72,0.33999999999999997,0.0
,2.0,0.0,0.62,0.28,0.0
,2.0,0.14,0.76,0.28,0.0
,2.0,0.3,0.74,0.30000000000000004,0.0
,26.0,0.48,0.8800000000000001,0.01,0.14
,31.0,0.46,0.9400000000000001,0.02,0.18
,2.0,0.4,0.43,0.43999999999999995,0.0
,2.0,0.08,0.5599999999999999,0.42000000000000004,0.0
,2.0,0.32,0.7000000000000001,0.24000000000000005,0.0
,32.0,0.46,0.89,0.04,0.15
,1.0,0.44,0.64,0.34,0.0
,3.0,0.24,0.7,0.38999999999999996,0.0
,4.0,0.04,0.7500000000000001,0.30000000000000004,0.0
,5.0,0.04,1.0,0.0,0.0
,6.0,0.04,1.0,0.0,0.0
,7.0,0.04,1.0,0.0,0.0
,8.0,0.04,1.0,0.0,0.0
,9.0,0.04,1.0,0.0,0.0
,10.0,0.04,1.0,0.0,0.0
,11.0,0.04,1.0,0.0,0.0
,12.0,0.04,1.0,0.0,0.0
,13.0,0.04,1.0,0.0,0.0
,14.0,0.04,1.0,0.0,0.0
,15.0,0.04,1.0,0.0,0.0
,16.0,0.04,1.0,0.0,0.0
,17.0,0.04,1.0,0.0,0.0
,18.0,0.04,1.0,0.0,0.0
,19.0,0.04,1.0,0.0,0.0
,2.0,0.42,0.36,0.63,0.0
,20.0,0.04,1.0,0.0,0.0
,21.0,0.04,1.0,0.0,0.0
,22.0,0.04,1.0,0.0,0.0
,23.0,0.04,1.0,0.0,0.0
,24.0,0.04,1.0,0.0,0.0
,25.0,0.04,1.0,0.0,0.0
,26.0,0.04,1.0,0.0,0.0
,27.0,0.04,1.0,0.0,0.0
,50.0,0.48,1.0,0.0,0.12
,2.0,0.28,0.5900000000000001,0.38,0.0
,27.0,0.48,0.85,0.04,0.15
,28.0,0.48,1.0,0.0,0.11000000000000001
,29.0,0.48,1.0,0.0,0.10999999999999999
,33.0,0.46,0.9800000000000001,0.0,0.16
,34.0,0.46,0.95,0.03,0.13
,35.0,0.46,1.0,0.0,0.10999999999999999
,2.0,0.36,0.56,0.36000000000000004,0.0
,2.0,0.38,0.63,0.37,0.0
,36.0,0.46,0.9400000000000001,0.01,0.11000000000000001
,0.0,0.46,0.6500000000000001,0.35,0.0
,30.0,0.48,0.93,0.1,0.11000000000000001
,0.0,0.48,0.53,0.34,0.0
,3.0,0.26,0.47000000000000003,0.35,0.0
,3.0,0.22,0.7000000000000001,0.28,0.0
,3.0,0.18,0.7200000000000001,0.38,0.0
,37.0,0.46,0.9400000000000001,0.030000000000000006,0.1
,38.0,0.46,1.0,0.0,0.09
,39.0,0.46,1.0,0.0,0.06999999999999999
,31.0,0.48,1.0,0.02,0.12000000000000002
,32.0,0.48,1.0,0.0,0.07999999999999999
,33.0,0.48,0.9400000000000001,0.03,0.11000000000000001
,34.0,0.48,1.0,0.0,0.14
,35.0,0.48,1.0,0.0,0.15000000000000002
,36.0,0.48,1.0,0.0,0.12
,37.0,0.48,1.0,0.0,0.09000000000000001
,3.0,0.34,0.66,0.28,0.0
,3.0,0.1,0.7500000000000001,0.24000000000000005,0.0
,40.0,0.46,0.96,0.03,0.12000000000000002
,41.0,0.46,1.0,0.0,0.13999999999999999
,3.0,0.0,0.5,0.43999999999999995,0.0
,42.0,0.46,0.95,0.01,0.18000000000000002
,43.0,0.46,1.0,0.0,0.08
,44.0,0.46,1.0,0.0,0.07999999999999999
,45.0,0.46,1.0,0.0,0.09
,3.0,0.12,0.6799999999999999,0.44000000000000006,0.0
,38.0,0.48,0.93,0.04,0.13999999999999999
,39.0,0.48,1.0,0.0,0.09
,4.0,0.02,0.7,0.44000000000000006,0.0
,5.0,0.02,1.0,0.0,0.0
,6.0,0.02,1.0,0.0,0.0
,7.0,0.02,1.0,0.0,0.0
,8.0,0.02,1.0,0.0,0.0
,9.0,0.02,1.0,0.0,0.0
,10.0,0.02,1.0,0.0,0.0
,11.0,0.02,1.0,0.0,0.0
,12.0,0.02,1.0,0.0,0.0
,13.0,0.02,1.0,0.0,0.0
,14.0,0.02,1.0,0.0,0.0
,15.0,0.02,1.0,0.0,0.0
,16.0,0.02,1.0,0.0,0.0
,17.0,0.02,1.0,0.0,0.0
,18.0,0.02,1.0,0.0,0.0
,19.0,0.02,1.0,0.0,0.0
,20.0,0.02,1.0,0.0,0.0
,21.0,0.02,1.0,0.0,0.0
,22.0,0.02,1.0,0.0,0.0
,23.0,0.02,1.0,0.0,0.0
,24.0,0.02,1.0,0.0,0.0
,25.0,0.02,1.0,0.0,0.0
,26.0,0.02,1.0,0.0,0.0
,3.0,0.3,0.6100000000000001,0.29000000000000004,0.0
,46.0,0.46,0.9199999999999999,0.02,0.15
,3.0,0.42,0.55,0.32,0.0
,3.0,0.16,0.67,0.2800000000000001,0.0
,3.0,0.2,0.6900000000000001,0.53,0.0
,3.0,0.14,0.8,0.18000000000000002,0.0
,47.0,0.46,0.9400000000000001,0.02,0.15
,48.0,0.46,1.0,0.0,0.07999999999999999
,40.0,0.48,0.93,0.05,0.09999999999999999
,41.0,0.48,1.0,0.0,0.05
,42.0,0.48,1.0,0.0,0.1
,43.0,0.48,1.0,0.0,0.030000000000000006
,44.0,0.48,1.0,0.0,0.13000000000000003
,45.0,0.48,1.0,0.0,0.06
,46.0,0.48,1.0,0.0,0.1
,47.0,0.48,1.0,0.0,0.11000000000000001
,48.0,0.48,1.0,0.0,0.05
,49.0,0.48,1.0,0.0,0.06999999999999999
,3.0,0.4,0.7400000000000001,0.25000000000000006,0.0
,3.0,0.32,0.73,0.36,0.0
,4.0,0.24,0.76,0.48999999999999994,0.0
,0.0,0.5,0.5800000000000001,0.38999999999999996,0.0
,3.0,0.08,0.7300000000000001,0.25,0.0
,2.0,0.44,0.6700000000000002,0.33,0.0
,3.0,0.36,0.72,0.37,0.0
,3.0,0.38,0.6100000000000001,0.43,0.0
,25.0,0.5,0.8300000000000001,0.08,0.13999999999999999
,26.0,0.5,1.0,0.0,0.12
,3.0,0.28,0.6799999999999999,0.26999999999999996,0.0
,1.0,0.46,0.5399999999999999,0.54,0.0
,26.0,0.52,0.89,0.04,0.12
,4.0,0.26,0.7000000000000001,0.22000000000000003,0.0
,1.0,0.48,0.59,0.32,0.0
,4.0,0.22,0.6599999999999999,0.39,0.0
,5.0,0.22,1.0,0.0,0.0
,6.0,0.22,1.0,0.0,0.0
,7.0,0.22,1.0,0.0,0.0
,8.0,0.22,1.0,0.0,0.0
,9.0,0.22,1.0,0.0,0.0
,10.0,0.22,1.0,0.0,0.0
,27.0,0.5,0.9400000000000001,0.04,0.13000000000000003
,28.0,0.5,1.0,0.0,0.09
,29.0,0.5,0.9400000000000001,0.03,0.08
,30.0,0.5,1.0,0.0,0.13
,27.0,0.52,0.8800000000000001,0.03,0.1
,27.0,0.54,0.9199999999999999,0.01,0.14
,28.0,0.52,0.99,0.05,0.15000000000000002
,29.0,0.52,1.0,0.0,0.14000000000000004
,28.0,0.54,0.9400000000000001,0.04,0.13
,4.0,0.18,0.75,0.2700000000000001,0.0
,5.0,0.18,1.0,0.0,0.0
,6.0,0.18,1.0,0.0,0.0
,7.0,0.18,1.0,0.0,0.0
,8.0,0.18,1.0,0.0,0.0
,4.0,0.34,0.7300000000000001,0.20000000000000004,0.0
,0.0,0.52,0.45,0.53,0.0
,31.0,0.5,0.89,0.06,0.08
,32.0,0.5,1.0,0.0,0.13
,4.0,0.32,0.5499999999999999,0.38000000000000006,0.0
,30.0,0.52,0.95,0.02,0.15
,4.0,0.1,0.85,0.22999999999999998,0.0
,4.0,0.12,0.74,0.21000000000000002,0.0
,5.0,0.12,1.0,0.0,0.0
,33.0,0.5,0.9400000000000001,0.02,0.16000000000000003
,4.0,0.42,0.69,0.30000000000000004,0.0
,1.0,0.54,0.49000000000000005,0.4600000000000001,0.0
,29.0,0.54,0.9800000000000001,0.01,0.14
,31.0,0.52,0.9400000000000001,0.0,0.13
,28.0,0.56,0.9400000000000001,0.02,0.16000000000000006
,4.0,0.2,0.6399999999999999,0.36,0.0
,5.0,0.2,1.0,0.0,0.0
,6.0,0.2,1.0,0.0,0.0
,7.0,0.2,1.0,0.0,0.0
,8.0,0.2,1.0,0.0,0.0
,9.0,0.2,1.0,0.0,0.0
,4.0,0.0,0.75,0.3899999999999999,0.0
,5.0,0.0,1.0,0.0,0.0
,6.0,0.0,1.0,0.0,0.0
,7.0,0.0,1.0,0.0,0.0
,8.0,0.0,1.0,0.0,0.0
,9.0,0.0,1.0,0.0,0.0
,10.0,0.0,1.0,0.0,0.0
,11.0,0.0,1.0,0.0,0.0
,12.0,0.0,1.0,0.0,0.0
,13.0,0.0,1.0,0.0,0.0
,14.0,0.0,1.0,0.0,0.0
,15.0,0.0,1.0,0.0,0.0
,16.0,0.0,1.0,0.0,0.0
,17.0,0.0,1.0,0.0,0.0
,18.0,0.0,1.0,0.0,0.0
,19.0,0.0,1.0,0.0,0.0
,20.0,0.0,1.0,0.0,0.0
,21.0,0.0,1.0,0.0,0.0
,22.0,0.0,1.0,0.0,0.0
,23.0,0.0,1.0,0.0,0.0
,24.0,0.0,1.0,0.0,0.0
,25.0,0.0,1.0,0.0,0.0
,30.0,0.54,0.9,0.06999999999999999,0.15999999999999998
,31.0,0.54,1.0,0.0,0.07999999999999999
,32.0,0.54,1.0,0.0,0.18
,33.0,0.54,1.0,0.0,0.10000000000000002
,34.0,0.54,1.0,0.0,0.07
,35.0,0.54,1.0,0.0,0.07999999999999999
,36.0,0.54,1.0,0.0,0.16
,37.0,0.54,1.0,0.0,0.08
,38.0,0.54,1.0,0.0,0.1
,39.0,0.54,1.0,0.0,0.05
,4.0,0.38,0.63,0.35000000000000003,0.0
,32.0,0.52,0.95,0.01,0.09
,3.0,0.44,0.62,0.41000000000000003,0.0
,29.0,0.56,0.9400000000000001,0.02,0.13
,4.0,0.3,0.8,0.18000000000000002,0.0
,34.0,0.5,0.9099999999999999,0.08,0.09
,4.0,0.14,0.82,0.18,0.0
,5.0,0.14,1.0,0.0,0.0
,6.0,0.14,1.0,0.0,0.0
,30.0,0.6,1.0,0.0,0.11000000000000001
,40.0,0.54,0.96,0.02,0.09999999999999999
,41.0,0.54,1.0,0.0,0.05
,42.0,0.54,1.0,0.0,0.13
,43.0,0.54,1.0,0.0,0.09
,44.0,0.54,1.0,0.0,0.1
,33.0,0.52,0.96,0.02,0.14
,34.0,0.52,1.0,0.0,0.17
,35.0,0.52,0.96,0.02,0.06000000000000001
,36.0,0.52,1.0,0.0,0.12
,37.0,0.52,1.0,0.0,0.12
,4.0,0.16,0.8699999999999999,0.25000000000000006,0.0
,5.0,0.16,1.0,0.0,0.0
,6.0,0.16,1.0,0.0,0.0
,7.0,0.16,1.0,0.0,0.0
,29.0,0.58,0.9400000000000001,0.05,0.14
,4.0,0.36,0.6199999999999999,0.29,0.0
,2.0,0.48,0.48,0.43,0.0
,4.0,0.4,0.8200000000000001,0.26,0.0
,35.0,0.5,0.96,0.04,0.09
,36.0,0.5,1.0,0.0,0.09
,37.0,0.5,0.9400000000000001,0.03,0.11000000000000001
,31.0,0.6,0.95,0.01,0.14
,32.0,0.6,1.0,0.0,0.07999999999999999
,33.0,0.6,1.0,0.0,0.06
,4.0,0.28,0.7000000000000001,0.39,0.0
,2.0,0.46,0.5800000000000001,0.37,0.0
,45.0,0.54,0.9400000000000001,0.03,0.09
,1.0,0.52,0.45,0.38000000000000006,0.0
,38.0,0.52,0.9400000000000001,0.02,0.13
,39.0,0.52,1.0,0.0,0.06999999999999999
,40.0,0.52,0.97,0.01,0.13
,41.0,0.52,1.0,0.0,0.06
,30.0,0.56,0.96,0.06,0.13999999999999999
,1.0,0.5,0.76,0.3,0.0
,38.0,0.5,0.93,0.02,0.08
,39.0,0.5,1.0,0.0,0.11000000000000001
,40.0,0.5,1.0,0.0,0.06999999999999999
,41.0,0.5,1.0,0.0,0.07999999999999999
,42.0,0.5,1.0,0.0,0.13
,43.0,0.5,1.0,0.0,0.08
,44.0,0.5,1.0,0.0,0.06999999999999999
,34.0,0.6,0.9199999999999999,0.02,0.06
,35.0,0.6,1.0,0.0,0.06000000000000001
,5.0,0.24,0.8099999999999999,0.15,0.0
,6.0,0.24,1.0,0.0,0.0
,7.0,0.24,1.0,0.0,0.0
,8.0,0.24,1.0,0.0,0.0
,9.0,0.24,1.0,0.0,0.0
,10.0,0.24,1.0,0.0,0.0
,11.0,0.24,1.0,0.0,0.0
,42.0,0.52,0.9199999999999999,0.02,0.14
,31.0,0.56,0.96,0.02,0.12
,32.0,0.56,1.0,0.0,0.04
,33.0,0.56,0.9400000000000001,0.01,0.09
,30.0,0.58,0.9400000000000001,0.03,0.12000000000000002
,31.0,0.58,1.0,0.0,0.11000000000000003
,32.0,0.58,1.0,0.0,0.06
,5.0,0.26,0.77,0.41000000000000003,0.0
,6.0,0.26,1.0,0.0,0.0
,7.0,0.26,1.0,0.0,0.0
,8.0,0.26,1.0,0.0,0.0
,9.0,0.26,1.0,0.0,0.0
,10.0,0.26,1.0,0.0,0.0
,11.0,0.26,1.0,0.0,0.0
,12.0,0.26,1.0,0.0,0.0
,36.0,0.6,0.95,0.04,0.09
,37.0,0.6,1.0,0.0,0.08
,45.0,0.5,0.93,0.02,0.10999999999999999
,31.0,0.62,0.9400000000000001,0.03,0.17000000000000004
,46.0,0.54,0.9,0.06000000000000001,0.13
,32.0,0.62,0.9199999999999999,0.04,0.13000000000000003
,33.0,0.62,1.0,0.0,0.08
,43.0,0.52,0.8699999999999999,0.05,0.16
,34.0,0.56,0.96,0.0,0.11000000000000001
,35.0,0.56,1.0,0.0,0.08
,36.0,0.56,1.0,0.0,0.06999999999999999
,2.0,0.56,0.55,0.41,0.0
,33.0,0.58,0.96,0.02,0.06999999999999999
,34.0,0.58,0.9400000000000001,0.01,0.1
,35.0,0.58,0.9800000000000001,0.0,0.11000000000000001
,36.0,0.58,1.0,0.0,0.09
,3.0,0.48,0.29,0.5199999999999999,0.0
,46.0,0.5,0.95,0.02,0.16
,38.0,0.6,0.93,0.02,0.09
,47.0,0.5,1.0,0.0,0.08
,37.0,0.56,0.93,0.01,0.12
,44.0,0.52,0.9,0.04,0.12
,37.0,0.58,0.9400000000000001,0.02,0.1
,4.0,0.6,0.5800000000000001,0.41999999999999993,0.0
,39.0,0.6,0.9400000000000001,0.03,0.08
,40.0,0.6,1.0,0.0,0.1
,41.0,0.6,1.0,0.0,0.030000000000000006
,42.0,0.6,1.0,0.0,0.13
,48.0,0.5,1.0,0.0,0.07999999999999999
,49.0,0.5,1.0,0.0,0.12
,50.0,0.5,0.9800000000000001,0.0,0.13
,32.0,0.64,1.0,0.0,0.07
,33.0,0.64,1.0,0.0,0.11000000000000001
,38.0,0.58,0.95,0.02,0.13
,43.0,0.6,0.9400000000000001,0.03,0.15999999999999998
,44.0,0.6,1.0,0.0,0.19000000000000003
,47.0,0.54,0.8299999999999998,0.05,0.3
,48.0,0.54,1.0,0.0,0.24
,34.0,0.64,0.9400000000000001,0.03,0.1
,38.0,0.56,0.8800000000000001,0.05,0.17
,34.0,0.62,0.8699999999999999,0.06999999999999999,0.15
,35.0,0.62,0.96,0.02,0.10999999999999999
,45.0,0.52,0.8800000000000001,0.04,0.2
,5.0,0.34,0.7999999999999999,0.14,0.0
,6.0,0.34,1.0,0.0,0.0
,7.0,0.34,1.0,0.0,0.0
,8.0,0.34,1.0,0.0,0.0
,9.0,0.34,1.0,0.0,0.0
,10.0,0.34,1.0,0.0,0.0
,11.0,0.34,1.0,0.0,0.0
,12.0,0.34,1.0,0.0,0.0
,13.0,0.34,1.0,0.0,0.0
,14.0,0.34,1.0,0.0,0.0
,15.0,0.34,1.0,0.0,0.0
